"id","date","trial_total","unconverted_total","subscriber_total","subscriber_member","subscriber_pro","subscriber_lifetime","expired_total","converted_to_member","converted_to_pro","converted_to_lifetime","lost_conversion","resurrected","lost","expired_from_member","expired_from_pro","updated_at","created_at"
"1","2024-08-14 18:00:25","555","66057","3818","57","3732","29","545","57","3732","29","0","0","66057","0","0","2024-08-14 18:00:25","2024-08-14 18:00:25"
"2","2024-08-15 18:00:41","544","66063","3820","57","3734","29","545","0","2","0","0","0","6","0","0","2024-08-15 18:00:41","2024-08-15 18:00:41"
"3","2024-08-16 18:00:49","548","66063","3821","58","3733","30","545","1","0","1","0","0","0","0","1","2024-08-16 18:00:50","2024-08-16 18:00:50"
"4","2024-08-17 18:00:57","556","66061","3825","67","3728","30","544","9","0","0","2","1","0","0","5","2024-08-17 18:00:58","2024-08-17 18:00:58"
"5","2024-08-18 18:00:54","570","66057","3830","72","3728","30","544","5","0","0","4","0","0","0","0","2024-08-18 18:00:54","2024-08-18 18:00:54"
"6","2024-08-19 18:00:34","577","66052","3836","78","3728","30","543","6","0","0","5","1","0","0","0","2024-08-19 18:00:34","2024-08-19 18:00:34"
"7","2024-08-20 18:00:49","588","66050","3841","85","3725","31","542","7","0","1","2","1","0","0","3","2024-08-20 18:00:49","2024-08-20 18:00:49"
"8","2024-08-21 18:00:58","593","66049","3845","87","3726","32","541","2","1","1","1","1","0","0","0","2024-08-21 18:00:59","2024-08-21 18:00:59"
"9","2024-08-22 18:00:08","597","66045","3846","91","3723","32","541","4","0","0","4","0","0","0","3","2024-08-22 18:00:09","2024-08-22 18:00:09"
"10","2024-08-23 18:00:11","699","66040","3488","80","3376","32","882","0","0","0","5","0","0","11","347","2024-08-23 18:00:11","2024-08-23 18:00:11"
"11","2024-08-24 18:00:04","698","66038","3474","83","3358","33","898","3","0","1","2","0","0","0","18","2024-08-24 18:00:04","2024-08-24 18:00:04"
"12","2024-08-25 18:00:56","713","66037","3467","89","3345","33","908","6","0","0","1","0","0","0","13","2024-08-25 18:00:56","2024-08-25 18:00:56"
"13","2024-08-26 18:00:14","720","66036","3460","95","3332","33","918","6","0","0","1","0","0","0","13","2024-08-26 18:00:14","2024-08-26 18:00:14"
"14","2024-08-27 18:00:10","722","66034","3450","99","3318","33","931","4","0","0","2","0","0","0","14","2024-08-27 18:00:10","2024-08-27 18:00:10"
"15","2024-08-28 18:00:45","724","66032","3445","108","3302","35","938","9","0","2","2","0","0","0","16","2024-08-28 18:00:46","2024-08-28 18:00:46"
"16","2024-08-29 18:00:57","708","66031","3428","114","3279","35","957","6","0","0","1","0","0","0","23","2024-08-29 18:00:57","2024-08-29 18:00:57"
"17","2024-08-30 18:00:51","710","66030","3408","119","3254","35","980","5","0","0","1","0","0","0","25","2024-08-30 18:00:52","2024-08-30 18:00:52"
"18","2024-08-31 18:00:58","695","66062","3398","122","3241","35","991","3","0","0","0","0","32","0","13","2024-08-31 18:00:58","2024-08-31 18:00:58"
"19","2024-09-01 18:00:11","669","66117","3392","122","3234","36","999","0","0","1","0","0","55","0","7","2024-09-01 18:00:11","2024-09-01 18:00:11"
"20","2024-09-02 18:00:49","693","66139","3387","128","3223","36","1008","6","0","0","0","0","22","0","11","2024-09-02 18:00:49","2024-09-02 18:00:49"
"21","2024-09-03 18:00:03","780","66153","3389","133","3220","36","1009","5","0","0","0","0","14","0","3","2024-09-03 18:00:03","2024-09-03 18:00:03"
"22","2024-09-04 18:00:21","835","66186","3380","136","3208","36","1022","3","0","0","0","0","33","0","12","2024-09-04 18:00:21","2024-09-04 18:00:21"
"23","2024-09-05 18:00:29","863","66206","3379","140","3202","37","1025","4","0","1","0","0","20","0","6","2024-09-05 18:00:29","2024-09-05 18:00:29"
"24","2024-09-06 18:00:41","902","66218","3374","145","3190","39","1038","5","0","2","0","0","12","0","12","2024-09-06 18:00:42","2024-09-06 18:00:42"
"25","2024-09-07 18:00:58","937","66235","3374","151","3184","39","1045","6","0","0","0","0","17","0","6","2024-09-07 18:00:58","2024-09-07 18:00:58"
"26","2024-09-08 18:00:09","962","66264","3368","152","3177","39","1055","1","0","0","0","0","29","0","7","2024-09-08 18:00:09","2024-09-08 18:00:09"
"27","2024-09-09 18:00:48","1004","66277","3368","157","3172","39","1061","5","0","0","0","0","13","0","5","2024-09-09 18:00:48","2024-09-09 18:00:48"
"28","2024-09-10 18:00:58","1031","66297","3364","160","3165","39","1070","3","0","0","0","0","20","0","7","2024-09-10 18:00:59","2024-09-10 18:00:59"
"29","2024-09-11 18:00:10","1061","66310","3370","170","3161","39","1072","10","0","0","0","0","13","0","4","2024-09-11 18:00:10","2024-09-11 18:00:10"
"30","2024-09-12 18:00:17","1079","66317","3373","172","3162","39","1074","2","1","0","0","0","7","0","0","2024-09-12 18:00:18","2024-09-12 18:00:18"
"31","2024-09-13 18:00:58","1095","66341","3393","186","3168","39","1061","14","6","0","0","13","24","0","0","2024-09-13 18:00:59","2024-09-13 18:00:59"
"32","2024-09-14 18:00:42","1136","66364","3403","193","3171","39","1057","7","3","0","0","4","23","0","0","2024-09-14 18:00:42","2024-09-14 18:00:42"
"33","2024-09-15 18:00:27","1154","66378","3404","201","3164","39","1064","8","0","0","0","0","14","0","7","2024-09-15 18:00:27","2024-09-15 18:00:27"
"34","2024-09-16 18:00:18","1161","66400","3402","201","3162","39","1070","0","0","0","0","0","22","0","2","2024-09-16 18:00:18","2024-09-16 18:00:18"
"35","2024-09-17 18:00:05","1183","66420","3405","209","3157","39","1072","8","0","0","0","0","20","0","5","2024-09-17 18:00:05","2024-09-17 18:00:05"
"36","2024-09-18 18:00:31","1192","66439","3404","212","3153","39","1073","3","0","0","0","0","19","0","4","2024-09-18 18:00:31","2024-09-18 18:00:31"
"37","2024-09-19 18:00:49","1212","66453","3400","214","3146","40","1080","2","0","1","0","0","14","0","7","2024-09-19 18:00:50","2024-09-19 18:00:50"
"38","2024-09-20 18:00:18","1231","66466","3398","219","3140","39","1085","5","0","0","0","0","13","0","6","2024-09-20 18:00:18","2024-09-20 18:00:18"
"39","2024-09-21 18:00:33","1238","66491","3396","223","3134","39","1092","4","0","0","0","0","25","0","6","2024-09-21 18:00:33","2024-09-21 18:00:33"
"40","2024-09-22 18:00:46","1259","66511","3395","229","3126","40","1097","6","0","1","0","0","20","0","8","2024-09-22 18:00:46","2024-09-22 18:00:46"
"41","2024-09-23 18:00:31","1288","66524","3394","232","3122","40","1102","3","0","0","0","0","13","0","4","2024-09-23 18:00:31","2024-09-23 18:00:31"
"42","2024-09-24 18:00:52","1294","66553","3383","231","3112","40","1110","0","0","0","0","0","29","1","10","2024-09-24 18:00:52","2024-09-24 18:00:52"
"43","2024-09-25 18:00:08","1290","66574","3385","234","3111","40","1110","3","0","0","0","0","21","0","1","2024-09-25 18:00:09","2024-09-25 18:00:09"
"44","2024-09-26 18:00:05","1298","66594","3384","238","3106","40","1113","4","0","0","0","0","20","0","5","2024-09-26 18:00:05","2024-09-26 18:00:05"
"45","2024-09-27 18:00:22","1311","66612","3380","240","3100","40","1119","2","0","0","0","0","18","0","6","2024-09-27 18:00:22","2024-09-27 18:00:22"
"46","2024-09-28 18:00:47","1314","66626","3381","241","3100","40","1121","1","0","0","0","0","14","0","0","2024-09-28 18:00:47","2024-09-28 18:00:47"
"47","2024-09-29 18:00:10","1333","66643","3378","244","3094","40","1125","3","0","0","0","0","17","0","6","2024-09-29 18:00:11","2024-09-29 18:00:11"
"48","2024-09-30 18:00:54","1371","66663","3378","247","3091","40","1127","3","0","0","0","0","20","0","3","2024-09-30 18:00:54","2024-09-30 18:00:54"
"49","2024-10-01 18:00:16","1414","66688","3388","255","3093","40","1125","8","2","0","0","2","25","0","0","2024-10-01 18:00:17","2024-10-01 18:00:17"
"50","2024-10-02 18:00:41","1434","66732","3390","258","3091","41","1124","3","0","1","0","1","44","0","2","2024-10-02 18:00:41","2024-10-02 18:00:41"
"51","2024-10-03 18:00:10","1392","66822","3382","263","3077","42","1135","5","0","1","0","0","90","0","14","2024-10-03 18:00:11","2024-10-03 18:00:11"
"52","2024-10-04 18:00:33","1358","66905","3385","269","3074","42","1136","6","0","0","0","0","83","0","3","2024-10-04 18:00:33","2024-10-04 18:00:33"
"53","2024-10-05 18:00:56","1353","66960","3384","274","3067","43","1140","5","0","1","0","0","55","0","7","2024-10-05 18:00:56","2024-10-05 18:00:56"
"54","2024-10-06 18:00:04","1334","67012","3381","277","3061","43","1145","3","0","0","0","0","52","0","6","2024-10-06 18:00:04","2024-10-06 18:00:04"
"55","2024-10-07 18:00:38","1338","67058","3379","282","3054","43","1151","5","0","0","0","0","46","0","7","2024-10-07 18:00:39","2024-10-07 18:00:39"
"56","2024-10-08 18:00:45","1320","67107","3381","288","3050","43","1157","6","0","0","0","0","49","0","4","2024-10-08 18:00:45","2024-10-08 18:00:45"
"57","2024-10-09 18:00:54","1306","67162","3380","293","3043","44","1161","5","0","1","0","0","55","0","7","2024-10-09 18:00:55","2024-10-09 18:00:55"
"58","2024-10-10 18:00:08","1289","67206","3377","294","3039","44","1167","1","0","0","0","0","44","0","4","2024-10-10 18:00:08","2024-10-10 18:00:08"
"59","2024-10-11 18:00:57","1290","67248","3373","297","3032","44","1168","3","0","0","0","0","42","0","7","2024-10-11 18:00:57","2024-10-11 18:00:57"
"60","2024-10-12 18:00:08","1280","67289","3372","303","3025","44","1176","6","0","0","0","0","41","0","7","2024-10-12 18:00:08","2024-10-12 18:00:08"
"61","2024-10-13 18:00:18","1270","67336","3371","305","3022","44","1180","2","0","0","0","0","47","0","3","2024-10-13 18:00:19","2024-10-13 18:00:19"
"62","2024-10-14 18:00:53","1252","67397","3367","306","3017","44","1187","1","0","0","0","0","61","0","5","2024-10-14 18:00:53","2024-10-14 18:00:53"
"63","2024-10-15 18:00:03","1255","67430","3368","311","3013","44","1191","5","0","0","0","0","33","0","4","2024-10-15 18:00:04","2024-10-15 18:00:04"
"64","2024-10-16 18:00:03","1270","67460","3365","312","3009","44","1195","1","0","0","0","0","30","0","4","2024-10-16 18:00:03","2024-10-16 18:00:03"
"65","2024-10-17 18:00:56","1265","67498","3360","314","3002","44","1200","2","0","0","0","0","38","0","7","2024-10-17 18:00:56","2024-10-17 18:00:56"
"66","2024-10-18 18:00:02","1266","67526","3363","319","3000","44","1201","5","0","0","0","0","28","0","2","2024-10-18 18:00:03","2024-10-18 18:00:03"
